X,Y,Z,cX,cY,cZ,id
0.268956,0.0579543,0.489995,0.0101483,0.130966,-0.533753,86
0.270703,0.0566674,0.472213,0.0115308,0.132733,-0.551598,87
0.277016,0.0649412,0.450654,0.0126012,0.134399,-0.572479,88
0.285316,0.0663163,0.431716,0.0148172,0.137147,-0.59166,89
0.280637,0.0697144,0.411503,0.0158132,0.140385,-0.61171,90
0.292758,0.0820777,0.391895,0.0169857,0.144164,-0.631148,91
0.294397,0.0776627,0.373964,0.0185009,0.149265,-0.649929,92
0.297714,0.0844398,0.354972,0.0197685,0.155558,-0.668747,93
0.295595,0.0937543,0.336734,0.0199053,0.162114,-0.68666,94
0.305103,0.109272,0.317273,0.0202969,0.169112,-0.70544,95
0.308554,0.120543,0.299956,0.0199578,0.178039,-0.722492,96
0.305762,0.131733,0.284389,0.0171301,0.186796,-0.737813,97
0.308911,0.149646,0.268783,0.0161969,0.193966,-0.752208,98
0.305775,0.160445,0.252896,0.0139017,0.20238,-0.767623,99
0.304488,0.171057,0.234702,0.0140238,0.208371,-0.784712,100
0.311443,0.173798,0.217391,0.0130495,0.214761,-0.802293,101
0.307719,0.182808,0.197433,0.0131489,0.220047,-0.821312,102
0.309916,0.188445,0.177507,0.0130211,0.223556,-0.840543,103
0.309512,0.1966,0.156713,0.0121811,0.226791,-0.860524,104
0.321681,0.202597,0.135931,0.0114732,0.230269,-0.881162,105
0.325946,0.207636,0.111888,0.0108292,0.232986,-0.904644,106
0.312357,0.205212,0.0921962,0.01089,0.23669,-0.924031,107
0.319361,0.212058,0.0723277,0.0102208,0.241509,-0.943723,108
0.319132,0.222799,0.0516003,0.00816175,0.245069,-0.96401,109
0.322228,0.235689,0.0330249,0.00638042,0.251568,-0.98259,110
0.329691,0.233519,0.0122081,0.00470568,0.255389,-1.00487,111
0.33677,0.242105,-0.00976014,0.00568016,0.26385,-1.02734,112
0.345634,0.265923,-0.031763,0.00513712,0.271442,-1.0492,113
0.337027,0.268697,-0.0543493,0.000243391,0.276917,-1.07449,114
0.338384,0.277677,-0.0795877,-0.00201958,0.285159,-1.10325,115
0.340567,0.29556,-0.0965997,-0.00224508,0.295729,-1.12155,116
0.341399,0.310294,-0.113867,-0.00199807,0.30329,-1.13998,117
0.351525,0.321681,-0.1323,0.000903488,0.312497,-1.16102,118
0.365477,0.332743,-0.147875,0.00202089,0.319042,-1.18053,119
