X,Y,Z,rX,rY,rZ,id
0.00832536,0.333084,-1.25652,-0.096568,-1.20343,-0.019723,104
0.00929312,0.336333,-1.27907,-0.0961085,-1.15956,-0.0195153,105
0.0108035,0.340079,-1.30232,-0.0947167,-1.11622,-0.0189088,106
0.0141323,0.342428,-1.32227,-0.0928429,-1.07498,-0.018277,107
0.0151688,0.356001,-1.34587,-0.0818267,-1.03333,-0.0151681,108
0.015667,0.360337,-1.3653,-0.0762945,-1.00124,-0.0153578,109
0.0153202,0.372095,-1.38226,-0.0768724,-0.961423,-0.0124349,110
0.018607,0.382261,-1.39254,-0.076487,-0.921032,-0.0113215,111
0.0178441,0.389486,-1.40932,-0.0741231,-0.867326,-0.00697713,112
0.0169286,0.398237,-1.42639,-0.0745206,-0.813132,-0.00112804,113
0.0157692,0.405953,-1.4454,-0.0754309,-0.758332,0.0025267,114
0.0145268,0.413598,-1.46052,-0.0772144,-0.721163,0.00343755,115
0.0164304,0.424686,-1.47662,-0.0825668,-0.673686,0.00301514,116
0.0162048,0.431497,-1.49448,-0.085049,-0.628121,0.00451452,117
0.0158333,0.435914,-1.51903,-0.0863987,-0.536099,0.00842196,118
0.0168286,0.43846,-1.54385,-0.0858542,-0.454809,0.0113128,119
0.0180696,0.440991,-1.57002,-0.0853886,-0.388684,0.0117084,120
0.0186724,0.444651,-1.59358,-0.0848906,-0.343897,0.00956789,121
0.018618,0.44907,-1.61504,-0.0846246,-0.311065,0.00636452,122
0.0178262,0.453927,-1.63787,-0.0841746,-0.269412,0.0034221,123
0.0160557,0.461109,-1.66207,-0.0843923,-0.227806,0.00211779,124
0.0127247,0.469164,-1.67782,-0.083361,-0.206409,0.00169141,125
0.0148231,0.475079,-1.70027,-0.0830844,-0.163685,-0.000250202,126
0.0181002,0.481042,-1.72417,-0.0822469,-0.132591,-0.00275391,127
0.01851,0.487252,-1.74429,-0.0815867,-0.114182,-0.000271479,128
0.0188092,0.495537,-1.76232,-0.0830012,-0.0968291,0.0024964,129
0.0202155,0.504228,-1.77951,-0.0856725,-0.0817294,0.0046831,130
0.0108337,0.515298,-1.79103,-0.090994,-0.0728194,0.00324419,131
0.0150807,0.523382,-1.81088,-0.0951346,-0.0461759,0.00307455,132
0.0180173,0.528305,-1.83288,-0.0965258,-0.0292802,0.00317944,133
0.0198067,0.534798,-1.85124,-0.0982407,-0.0197027,0.00588233,134
0.0187611,0.538044,-1.87385,-0.0976263,-0.0126109,0.010369,135
0.0227317,0.541312,-1.89875,-0.0974631,-0.00370499,0.0104221,136
0.0220239,0.544014,-1.92311,-0.0963125,0.00183491,0.0158049,137
0.0162705,0.548425,-1.94648,-0.0958359,0.0067698,0.019923,138
0.0211747,0.551644,-1.9717,-0.0938249,0.0154077,0.0239189,139
0.0233477,0.582633,-2.00063,-0.0912145,0.0188683,0.0318104,140
0.0233094,0.565688,-2.01818,-0.059067,0.0200082,0.0430357,141
0.024045,0.572162,-2.04024,-0.0558819,0.0230226,0.0498269,142
0.0184845,0.583149,-2.06276,-0.0552373,0.0232068,0.0597781,143
0.01516,0.592503,-2.0783,-0.0505939,0.0281144,0.0691302,144
0.0192463,0.597113,-2.09492,-0.0438393,0.0335839,0.0785971,145
0.0134394,0.602886,-2.10758,-0.041419,0.0361295,0.0797571,146
0.0176492,0.610286,-2.125,-0.0430222,0.0417377,0.0772728,147
0.0266482,0.615762,-2.14414,-0.0449759,0.0449182,0.0735347,148
0.0290076,0.622177,-2.16439,-0.0496218,0.0444759,0.073958,149
0.0284419,0.627634,-2.18516,-0.0520512,0.0432144,0.0772534,150
0.0254063,0.631155,-2.20689,-0.0537549,0.0413839,0.0804962,151
0.0257209,0.635223,-2.23057,-0.0562878,0.0408109,0.0744889,152
0.0197927,0.638773,-2.25402,-0.0561684,0.0406007,0.0788255,153
0.0164414,0.642253,-2.27845,-0.0551303,0.0397796,0.0832199,154
0.012541,0.646761,-2.3033,-0.0545262,0.0395215,0.0875352,155
0.00818125,0.64893,-2.32736,-0.0508174,0.0394488,0.0938886,156
-0.00047074,0.66231,-2.35212,-0.0481797,0.0394205,0.100445,157
0.00405856,0.662257,-2.37143,-0.037429,0.0413067,0.102178,158
0.00283398,0.670514,-2.39276,-0.036023,0.041528,0.105466,159
-0.00694917,0.676795,-2.41327,-0.0331909,0.0414174,0.109073,160
-0.0173505,0.686143,-2.43261,-0.0309589,0.0427052,0.1145,161
-0.00999841,0.693707,-2.45104,-0.0226894,0.0453641,0.122629,162
-0.00952379,0.701332,-2.47068,-0.0175154,0.0457757,0.1299,163
-0.0144825,0.70779,-2.49244,-0.01365,0.045197,0.132765,164
-0.0217505,0.71587,-2.51073,-0.0113149,0.0441572,0.135846,165
-0.0281317,0.721248,-2.52904,-0.00682431,0.0431257,0.139369,166
-0.030698,0.726341,-2.5513,-0.00147705,0.0419625,0.145691,167
-0.0332455,0.738151,-2.57713,0.0015316,0.0403269,0.151931,168
-0.0396132,0.738641,-2.59743,0.0180015,0.039232,0.162247,169
-0.0442369,0.741313,-2.62001,0.0326939,0.0381507,0.173345,170
-0.0514026,0.745523,-2.64223,0.0477998,0.0370634,0.185717,171
-0.0567679,0.747467,-2.66398,0.0677481,0.0362375,0.200023,172
-0.0646266,0.765275,-2.69081,0.0846904,0.0350874,0.218358,173
-0.066935,0.752218,-2.70836,0.138912,0.0342609,0.241987,174
-0.0776822,0.748745,-2.72183,0.156017,0.0339185,0.259378,175
-0.0885287,0.75269,-2.73781,0.164741,0.0338971,0.27299,176
-0.108204,0.757441,-2.74615,0.172826,0.0348903,0.287334,177
-0.112831,0.761586,-2.76521,0.185976,0.0350753,0.303994,178
-0.110222,0.767375,-2.79219,0.19885,0.033659,0.322068,179
-0.108809,0.778844,-2.81494,0.203839,0.0321959,0.332713,180
-0.118309,0.783974,-2.83115,0.209918,0.0310585,0.341964,181
-0.129422,0.787523,-2.8478,0.214272,0.030042,0.34838,182
-0.135944,0.792594,-2.86607,0.218319,0.0291165,0.354945,183
-0.14295,0.796267,-2.88639,0.225405,0.0280191,0.365125,184
-0.15499,0.799626,-2.90572,0.230857,0.026954,0.373004,185
-0.168913,0.800505,-2.92504,0.238256,0.0259744,0.382304,186
-0.180153,0.802304,-2.94362,0.248195,0.0251511,0.394461,187
-0.190042,0.806329,-2.96222,0.259506,0.0244136,0.410624,188
-0.204054,0.80881,-2.97995,0.272102,0.0237095,0.425656,189
-0.219565,0.809893,-2.99235,0.285014,0.0233009,0.439638,190
-0.23099,0.816419,-3.01382,0.30001,0.0220733,0.457644,191
-0.237973,0.821188,-3.03157,0.318086,0.0208037,0.47554,192
-0.251011,0.825429,-3.04706,0.329749,0.0197401,0.487306,193
-0.276376,0.8271,-3.04914,0.330686,0.0196697,0.487214,194
-0.288117,0.828669,-3.05061,0.342514,0.02001,0.497215,195
-0.290711,0.837098,-3.07607,0.36016,0.0189555,0.51833,196
-0.298651,0.846559,-3.09615,0.374918,0.0179981,0.536904,197
-0.312261,0.85171,-3.10543,0.384446,0.0175329,0.549168,198
-0.328433,0.852523,-3.10904,0.392329,0.0174671,0.559,199
-0.342457,0.854625,-3.12222,0.402783,0.0171174,0.571844,200
-0.35879,0.858139,-3.13926,0.414546,0.0166187,0.58708,201
-0.374729,0.859675,-3.15709,0.428713,0.0160931,0.603742,202
-0.392051,0.861781,-3.17498,0.444596,0.0155708,0.622037,203
-0.404035,0.866369,-3.18822,0.462503,0.0152653,0.645602,204
-0.424511,0.865479,-3.19854,0.480972,0.0150462,0.665868,205
-0.441747,0.866304,-3.21373,0.509739,0.0147277,0.696552,206
-0.460138,0.869255,-3.23382,0.547813,0.0142498,0.737273,207
-0.478602,0.874988,-3.24891,0.584424,0.0138731,0.777765,208
-0.491985,0.876187,-3.25973,0.629344,0.0133738,0.821836,209
-0.511438,0.879402,-3.26631,0.664316,0.013074,0.858778,210
-0.537041,0.876246,-3.26477,0.703274,0.013241,0.898968,211
